Africa/Abidjan,Greenwich Standard Time,-6.303670758634469,8.619988693716012
Africa/Accra,Greenwich Standard Time,-0.3388585473595983,8.865433047581481
Africa/Addis_Ababa,E. Africa Standard Time,35.858674845440106,8.888359831817183
Africa/Algiers,W. Central Africa Standard Time,2.2927315855939354,31.433696950716
Africa/Asmara,Africa/Asmara,39.27110781077783,14.639333853706797
Africa/Bamako,Greenwich Standard Time,-8.03204439519963,13.287724817371668
Africa/Bangui,W. Central Africa Standard Time,21.024176665190822,5.852696859689037
Africa/Banjul,Greenwich Standard Time,-15.48635437321937,13.360328257549817
Africa/Bissau,Greenwich Standard Time,-13.970102379446622,11.929417827075122
Africa/Blantyre,South Africa Standard Time,34.470028661290655,-12.296015582111346
Africa/Brazzaville,W. Central Africa Standard Time,14.065210832017495,-1.399937322129291
Africa/Bujumbura,South Africa Standard Time,29.99362244048308,-3.3428927755231035
Africa/Cairo,Egypt Standard Time,28.75745633791208,27.02342797664835
Africa/Casablanca,Morocco Standard Time,-3.5709951102893176,33.98614556580368
Africa/Ceuta,Romance Standard Time,-4.238193804941117,35.58537005946572
Africa/Conakry,Greenwich Standard Time,-10.472220440622497,10.210828201028722
Africa/Dakar,Greenwich Standard Time,-13.160452381811945,13.950478105245237
Africa/Dar_es_Salaam,E. Africa Standard Time,33.81240354493883,-8.58169286527889
Africa/Djibouti,E. Africa Standard Time,42.7353189387755,12.117715569573297
Africa/Douala,W. Central Africa Standard Time,12.982400185681888,7.423282226947899
Africa/El_Aaiun,Morocco Standard Time,-13.649374865869875,23.30361437582998
Africa/Freetown,Greenwich Standard Time,-11.280320784492972,8.585428708857757
Africa/Gaborone,South Africa Standard Time,24.88629627504692,-21.657538651923346
Africa/Harare,South Africa Standard Time,29.946173163055196,-19.69454145720225
Africa/Johannesburg,South Africa Standard Time,24.299352871242757,-27.798187621986308
Africa/Juba,South Sudan Standard Time,30.69911112575225,7.3062867377539495
Africa/Kampala,E. Africa Standard Time,30.966176742228246,0.49817241744905627
Africa/Khartoum,Sudan Standard Time,27.126973846070626,11.447694874375635
Africa/Kigali,South Africa Standard Time,29.911186162299916,-1.979107134059216
Africa/Kinshasa,W. Central Africa Standard Time,18.077625451158987,-4.601927517456122
Africa/Lagos,W. Central Africa Standard Time,10.910170856685536,10.220951176619383
Africa/Libreville,W. Central Africa Standard Time,12.827580778360238,0.5737082126344105
Africa/Lome,Greenwich Standard Time,0.6224619233221304,8.712544867566907
Africa/Luanda,W. Central Africa Standard Time,19.036862051428134,-9.984211027444642
Africa/Lubumbashi,South Africa Standard Time,26.640473585443402,-2.49351409103199
Africa/Lusaka,South Africa Standard Time,26.756767683665394,-12.351575372926453
Africa/Malabo,W. Central Africa Standard Time,8.924069590272662,2.0159789550479
Africa/Maputo,South Africa Standard Time,35.025331006726944,-15.392391820714998
Africa/Maseru,South Africa Standard Time,28.33423675733896,-29.37086540781579
Africa/Mbabane,South Africa Standard Time,31.283663427568577,-26.72583516081685
Africa/Mogadishu,E. Africa Standard Time,46.282670806530575,7.1224475869387796
Africa/Monrovia,Greenwich Standard Time,-9.194155692312805,7.330447916406022
Africa/Nairobi,E. Africa Standard Time,35.03469219453874,1.1721669964517107
Africa/Ndjamena,W. Central Africa Standard Time,17.647038717143605,10.749631098252753
Africa/Niamey,W. Central Africa Standard Time,10.591955010459193,13.64952251859724
Africa/Nouakchott,Greenwich Standard Time,-12.80389014874673,16.487336379617467
Africa/Ouagadougou,Greenwich Standard Time,-1.9325694534760531,11.159621724318196
Africa/Porto-Novo,W. Central Africa Standard Time,1.9297457931089714,10.08674095484454
Africa/Sao_Tome,Sao Tome Standard Time,6.9024048823529425,0.7893562647058824
Africa/Tripoli,Libya Standard Time,17.099217421404592,27.42528355609607
Africa/Tunis,W. Central Africa Standard Time,8.742253815026386,35.3360616318102
Africa/Windhoek,Namibia Standard Time,19.28508405780925,-23.73252475831825
America/Adak,Aleutian Standard Time,-18.570543100918574,52.167066947301805
America/Anchorage,Alaskan Standard Time,-153.58777016145692,60.91743148260378
America/Anguilla,SA Western Standard Time,-63.21275628750001,18.4376948625
America/Antigua,SA Western Standard Time,-61.86718760188934,17.3287660877193
America/Aruba,SA Western Standard Time,-69.97291474315516,12.58563323728814
America/Araguaina,Tocantins Standard Time,-48.367451778074184,-11.514847604872287
America/Argentina/Buenos_Aires,America/Argentina/Buenos_Aires,-60.009633363338594,-35.62416171408861
America/Argentina/Catamarca,America/Argentina/Catamarca,-70.6351560564189,-40.814705658232796
America/Argentina/Cordoba,America/Argentina/Cordoba,-58.23070103152487,-27.936972051284847
America/Argentina/Jujuy,America/Argentina/Jujuy,-65.45564335975236,-23.183709538278233
America/Argentina/La_Rioja,Argentina Standard Time,-68.39968951761223,-29.151670100895558
America/Argentina/Mendoza,America/Argentina/Mendoza,-69.08931464798603,-33.93159385562722
America/Argentina/Rio_Gallegos,Argentina Standard Time,-72.27683067195963,-49.57902406102375
America/Argentina/Salta,Argentina Standard Time,-68.78283210221402,-32.37247139162467
America/Argentina/San_Juan,Argentina Standard Time,-69.66636703912597,-31.359284479981095
America/Argentina/San_Luis,Argentina Standard Time,-66.29015524467538,-33.217797219324595
America/Argentina/Tucuman,Argentina Standard Time,-65.2750897097037,-26.575290951174694
America/Argentina/Ushuaia,Argentina Standard Time,-66.10360113395349,-54.63508823441863
America/Asuncion,Paraguay Standard Time,-57.38789756238792,-24.67383750189719
America/Atikokan,America/Atikokan,-83.71545406348375,63.05777649474336
America/Bahia,Bahia Standard Time,-41.8645309481155,-13.569375087017136
